phone,start,end,rate
89593223608,2001-04-29 22:14:58.000000,2001-04-29 22:23:30.034107,4.0
89593223608,2001-05-20 15:33:03.000000,2001-05-20 15:40:39.277938,
89593223608,2001-06-05 09:56:23.000000,2001-06-05 10:05:06.776958,
89593223608,2001-06-05 15:44:12.000000,2001-06-05 15:53:13.249899,3.0
89593223608,2001-06-22 13:18:42.000000,2001-06-22 13:27:17.081597,3.0
89593223608,2001-07-06 21:45:45.000000,2001-07-06 21:56:34.477530,2.0
89593223608,2001-07-18 12:36:05.000000,2001-07-18 12:45:50.824017,
89593223608,2001-08-01 18:59:24.000000,2001-08-01 19:08:45.908468,
89593223608,2001-08-23 14:58:22.000000,2001-08-23 15:08:33.624677,
89299893501,2001-09-01 02:22:00.000000,2001-09-01 02:32:50.766183,
89299893501,2001-09-01 20:56:26.000000,2001-09-01 21:07:08.842719,
89593223608,2001-09-08 02:30:12.000000,2001-09-08 02:40:37.097833,5.0
89299893501,2001-09-18 12:49:18.000000,2001-09-18 12:59:06.355204,3.0
89299893501,2001-09-23 12:50:45.000000,2001-09-23 13:01:19.955283,
89299893501,2001-10-07 17:47:47.000000,2001-10-07 17:56:25.933579,
89593223608,2001-10-07 18:52:32.000000,2001-10-07 19:02:53.919181,
89299893501,2001-10-24 18:03:52.000000,2001-10-24 18:14:02.370485,
89299893501,2001-10-30 05:34:18.000000,2001-10-30 05:44:03.746544,
89593223608,2001-11-05 05:21:35.000000,2001-11-05 05:30:15.517475,
89593223608,2001-11-07 06:48:30.000000,2001-11-07 06:56:26.457987,
89851117926,2001-11-16 00:01:52.000000,2001-11-16 00:12:41.310808,
89593223608,2001-11-21 07:28:45.000000,2001-11-21 07:37:49.553103,
89299893501,2001-11-25 12:50:02.000000,2001-11-25 13:01:20.205664,
89851117926,2001-11-29 13:23:14.000000,2001-11-29 13:33:02.344783,
89593223608,2001-12-02 16:15:01.000000,2001-12-02 16:24:09.171251,
89370396075,2001-12-08 17:02:23.000000,2001-12-08 17:07:56.257246,
89851117926,2001-12-11 13:46:54.000000,2001-12-11 13:56:53.921000,
89299893501,2001-12-11 16:04:56.000000,2001-12-11 16:13:56.169080,3.0
89851117926,2001-12-17 13:43:55.000000,2001-12-17 13:54:00.384716,
89851117926,2001-12-21 09:54:45.000000,2001-12-21 10:05:28.629821,
89370396075,2001-12-24 21:59:57.000000,2001-12-24 22:04:11.558153,
89370396075,2001-12-27 09:45:32.000000,2001-12-27 09:51:42.779850,
89700845010,2001-12-27 10:23:34.000000,2001-12-27 10:31:46.250051,4.0
89299893501,2001-12-29 03:04:43.000000,2001-12-29 03:15:49.803580,3.0
89299893501,2002-01-02 14:29:01.000000,2002-01-02 14:39:39.904727,
89299893501,2002-01-13 06:00:39.000000,2002-01-13 06:10:10.571053,3.0
89851117926,2002-01-13 12:56:08.000000,2002-01-13 13:06:01.036447,
89299893501,2002-01-14 11:53:57.000000,2002-01-14 12:03:24.087758,
89370396075,2002-01-17 16:30:20.000000,2002-01-17 16:36:30.750004,
89700845010,2002-01-19 18:13:08.000000,2002-01-19 18:20:15.348902,
89299893501,2002-01-29 19:22:40.000000,2002-01-29 19:32:12.506978,
89299893501,2002-01-31 14:26:23.000000,2002-01-31 14:36:45.549530,4.0
89370396075,2002-02-02 18:55:13.000000,2002-02-02 19:00:22.658093,5.0
89851117926,2002-02-07 03:41:00.000000,2002-02-07 03:50:48.127481,
89299893501,2002-02-07 12:47:07.000000,2002-02-07 12:57:47.182725,3.0
89700845010,2002-02-17 10:44:14.000000,2002-02-17 10:51:15.273329,3.0
89700845010,2002-02-18 07:14:22.000000,2002-02-18 07:22:58.603223,
89370396075,2002-02-23 07:49:07.000000,2002-02-23 07:53:46.155576,
89851117926,2002-03-06 05:08:16.000000,2002-03-06 05:17:53.959976,3.0
89299893501,2002-03-06 06:07:27.000000,2002-03-06 06:18:17.040811,
89851117926,2002-03-13 19:43:02.000000,2002-03-13 19:53:42.842297,
89370396075,2002-03-18 02:20:27.000000,2002-03-18 02:27:38.141864,4.0
89299893501,2002-03-21 11:10:44.000000,2002-03-21 11:21:32.286353,2.0
89851117926,2002-03-23 23:18:54.000000,2002-03-23 23:27:53.706998,
89851117926,2002-04-10 02:23:44.000000,2002-04-10 02:33:29.587253,
89370396075,2002-04-11 16:57:38.000000,2002-04-11 17:03:32.169282,
89299893501,2002-04-15 01:22:36.000000,2002-04-15 01:34:14.618947,
89299893501,2002-04-19 20:31:50.000000,2002-04-19 20:42:09.848474,
89370396075,2002-04-21 17:22:10.000000,2002-04-21 17:28:14.294378,4.0
89370396075,2002-04-24 11:32:03.000000,2002-04-24 11:36:50.526053,
89851117926,2002-05-02 10:33:56.000000,2002-05-02 10:44:06.651304,
89294120029,2002-05-08 02:37:18.000000,2002-05-08 02:50:41.550663,
89370396075,2002-05-11 21:33:31.000000,2002-05-11 21:37:58.807390,
89294120029,2002-05-19 11:27:59.000000,2002-05-19 11:41:30.915072,
89851117926,2002-05-25 09:26:37.000000,2002-05-25 09:36:56.348793,
89851117926,2002-05-28 18:26:08.000000,2002-05-28 18:37:32.853143,
89709437736,2002-06-01 11:35:17.000000,2002-06-01 11:46:41.618357,
89370396075,2002-06-10 12:47:41.000000,2002-06-10 12:50:30.674805,
89294120029,2002-06-11 09:48:05.000000,2002-06-11 10:01:47.592595,
89294120029,2002-06-12 16:16:43.000000,2002-06-12 16:30:07.318487,
89294120029,2002-06-17 22:33:24.000000,2002-06-17 22:46:02.904210,
89709437736,2002-06-23 01:23:33.000000,2002-06-23 01:34:57.500531,
89709437736,2002-06-24 13:05:16.000000,2002-06-24 13:18:02.732209,
89294120029,2002-07-07 06:40:02.000000,2002-07-07 06:55:20.733488,
89370396075,2002-07-08 04:57:23.000000,2002-07-08 05:04:29.004705,3.0
89294120029,2002-07-14 15:28:00.000000,2002-07-14 15:42:37.710450,
89709437736,2002-07-17 02:14:45.000000,2002-07-17 02:26:01.323276,5.0
89294120029,2002-07-20 04:10:41.000000,2002-07-20 04:24:30.421703,
89294120029,2002-07-24 08:10:21.000000,2002-07-24 08:23:36.138042,
89243457037,2002-07-26 06:26:17.000000,2002-07-26 06:30:52.907896,
89174365379,2002-07-29 22:19:10.000000,2002-07-29 22:32:09.486866,
89370396075,2002-07-31 02:36:02.000000,2002-07-31 02:41:35.940503,
89174365379,2002-08-04 15:23:51.000000,2002-08-04 15:37:29.552842,
89709437736,2002-08-07 14:58:24.000000,2002-08-07 15:10:25.719807,
89243457037,2002-08-07 19:56:04.000000,2002-08-07 19:59:47.367390,4.0
89174365379,2002-08-20 04:00:40.000000,2002-08-20 04:13:27.584347,
89709437736,2002-08-25 11:04:31.000000,2002-08-25 11:15:26.577567,
89243457037,2002-08-26 06:54:30.000000,2002-08-26 06:59:49.516068,
89243457037,2002-09-04 00:56:39.000000,2002-09-04 01:00:03.503917,
89174365379,2002-09-04 17:15:48.000000,2002-09-04 17:29:06.055936,
89174365379,2002-09-05 07:01:06.000000,2002-09-05 07:12:51.075462,4.0
89243457037,2002-09-10 05:53:01.000000,2002-09-10 05:56:54.507902,
89709437736,2002-09-10 16:24:49.000000,2002-09-10 16:35:42.867541,
89174365379,2002-09-23 08:13:53.000000,2002-09-23 08:27:12.449421,
89709437736,2002-09-29 17:01:41.000000,2002-09-29 17:14:20.713947,
89174365379,2002-10-19 02:55:25.000000,2002-10-19 03:07:37.081879,
89174365379,2002-11-08 23:24:46.000000,2002-11-08 23:36:19.044907,5.0
89174365379,2002-11-14 20:09:08.000000,2002-11-14 20:21:44.053628,
89174365379,2002-12-07 10:24:28.000000,2002-12-07 10:36:19.872973,
89174365379,2003-01-04 23:09:46.000000,2003-01-04 23:22:56.980879,
89269062081,2003-01-09 09:30:15.000000,2003-01-09 09:40:44.577922,
89174365379,2003-01-14 04:57:06.000000,2003-01-14 05:10:40.132681,1.0
89269062081,2003-01-28 02:32:41.000000,2003-01-28 02:43:17.733546,
89269062081,2003-02-12 14:36:13.000000,2003-02-12 14:46:00.088339,
89610472118,2003-03-12 05:53:58.000000,2003-03-12 06:02:44.027988,3.0
89269062081,2003-03-12 18:59:30.000000,2003-03-12 19:09:36.476101,
89610472118,2003-03-20 00:46:05.000000,2003-03-20 00:54:12.691336,
89269062081,2003-03-23 14:03:42.000000,2003-03-23 14:14:23.455909,3.0
89269062081,2003-03-30 14:52:54.000000,2003-03-30 15:03:46.532041,3.0
89610472118,2003-04-09 20:26:38.000000,2003-04-09 20:33:26.615652,3.0
89269062081,2003-04-11 21:12:44.000000,2003-04-11 21:23:58.155062,3.0
89269062081,2003-04-16 00:40:52.000000,2003-04-16 00:50:53.976834,
89610472118,2003-04-18 06:00:37.000000,2003-04-18 06:08:32.717160,3.0
89172164122,2003-04-26 21:00:39.000000,2003-04-26 21:11:56.297472,
89269062081,2003-05-09 20:29:41.000000,2003-05-09 20:41:07.217603,3.0
89172164122,2003-05-15 19:50:36.000000,2003-05-15 20:00:14.664432,
89676979799,2003-05-17 23:07:54.000000,2003-05-17 23:16:22.190902,
89676979799,2003-05-19 11:07:12.000000,2003-05-19 11:17:08.556887,
89269062081,2003-05-29 20:19:19.000000,2003-05-29 20:29:50.130489,
89676979799,2003-06-03 21:00:53.000000,2003-06-03 21:09:47.893666,
89676979799,2003-06-05 23:07:26.000000,2003-06-05 23:16:10.485724,
89172164122,2003-06-12 19:55:00.000000,2003-06-12 20:04:53.961755,
89676979799,2003-06-22 13:47:34.000000,2003-06-22 13:56:42.044771,
89269062081,2003-06-25 01:27:22.000000,2003-06-25 01:38:35.543141,
89172164122,2003-07-05 11:14:58.000000,2003-07-05 11:26:05.269699,
89269062081,2003-07-15 14:23:56.000000,2003-07-15 14:36:15.717239,
89676979799,2003-07-19 21:43:50.000000,2003-07-19 21:52:28.355998,
89172164122,2003-07-25 03:22:11.000000,2003-07-25 03:32:56.691261,
89676979799,2003-07-31 03:57:50.000000,2003-07-31 04:06:41.046798,
89676979799,2003-08-06 14:15:54.000000,2003-08-06 14:25:21.589685,2.0
89764257844,2003-08-10 21:30:18.000000,2003-08-10 21:38:54.814048,
89172164122,2003-08-14 22:57:02.000000,2003-08-14 23:06:53.054545,
89764257844,2003-08-18 15:00:05.000000,2003-08-18 15:08:55.619479,3.0
89764257844,2003-08-20 16:07:14.000000,2003-08-20 16:16:52.366584,
89764257844,2003-08-25 17:00:42.000000,2003-08-25 17:07:23.630804,2.0
89676979799,2003-08-31 02:54:31.000000,2003-08-31 03:03:54.789549,
89764257844,2003-09-16 09:01:01.000000,2003-09-16 09:09:39.679137,4.0
89676979799,2003-09-30 02:14:53.000000,2003-09-30 02:24:56.252967,
89764257844,2003-10-14 21:21:51.000000,2003-10-14 21:30:40.237162,2.0
89764257844,2003-10-22 14:21:05.000000,2003-10-22 14:31:41.728933,
89652120802,2003-10-22 20:06:59.000000,2003-10-22 20:18:52.435864,
89676979799,2003-10-23 02:44:52.000000,2003-10-23 02:53:58.150812,
89676979799,2003-10-24 17:47:41.000000,2003-10-24 17:56:10.881715,
89676979799,2003-11-14 19:40:59.000000,2003-11-14 19:50:49.050832,
89652120802,2003-11-18 11:12:56.000000,2003-11-18 11:23:05.704081,
89764257844,2003-11-19 02:19:17.000000,2003-11-19 02:28:28.665085,
89764257844,2003-11-24 14:55:25.000000,2003-11-24 15:03:31.647506,3.0
89676979799,2003-11-24 22:44:08.000000,2003-11-24 22:53:49.297406,
89764257844,2003-12-02 03:12:21.000000,2003-12-02 03:20:12.285789,
89652120802,2003-12-09 01:17:35.000000,2003-12-09 01:28:32.337820,
89676979799,2003-12-16 02:20:23.000000,2003-12-16 02:29:37.740732,2.0
89764257844,2003-12-28 18:23:16.000000,2003-12-28 18:30:59.454968,
89676979799,2003-12-29 08:25:41.000000,2003-12-29 08:35:52.114830,3.0
89652120802,2004-01-02 01:15:56.000000,2004-01-02 01:28:14.892492,
89676979799,2004-01-05 00:24:44.000000,2004-01-05 00:33:23.574667,1.0
89652120802,2004-01-08 02:05:01.000000,2004-01-08 02:15:20.251653,3.0
89764257844,2004-01-09 03:13:43.000000,2004-01-09 03:22:34.527652,
89652120802,2004-01-18 20:48:08.000000,2004-01-18 21:00:27.485974,
89652120802,2004-01-20 23:10:28.000000,2004-01-20 23:22:53.841639,5.0
89676979799,2004-01-21 11:33:07.000000,2004-01-21 11:44:06.212869,
89652120802,2004-01-27 08:24:11.000000,2004-01-27 08:35:52.428691,
89676979799,2004-01-28 08:10:20.000000,2004-01-28 08:20:28.240741,2.0
89576221549,2004-02-08 00:52:59.000000,2004-02-08 01:04:38.874285,
89676979799,2004-02-20 05:07:07.000000,2004-02-20 05:17:30.253093,
89576221549,2004-02-22 16:28:19.000000,2004-02-22 16:37:14.747437,
89652120802,2004-02-24 15:44:36.000000,2004-02-24 15:55:31.066367,
89652120802,2004-03-17 17:24:03.000000,2004-03-17 17:34:30.778263,
89576221549,2004-03-20 21:12:34.000000,2004-03-20 21:23:41.828715,4.0
89652120802,2004-04-07 08:39:02.000000,2004-04-07 08:49:16.504078,
89576221549,2004-04-11 07:53:58.000000,2004-04-11 08:03:30.945208,
89946027051,2004-04-16 10:31:49.000000,2004-04-16 10:42:06.150016,
89652120802,2004-04-24 16:03:20.000000,2004-04-24 16:15:27.766601,1.0
89652120802,2004-05-03 07:54:38.000000,2004-05-03 08:05:17.015412,
89946027051,2004-05-04 19:09:08.000000,2004-05-04 19:19:02.437164,5.0
89576221549,2004-05-09 23:13:13.000000,2004-05-09 23:24:08.226781,
89946027051,2004-05-13 19:38:58.000000,2004-05-13 19:49:23.129587,
89576221549,2004-05-19 06:50:09.000000,2004-05-19 07:00:23.183634,
89002278947,2004-05-21 21:01:26.000000,2004-05-21 21:14:11.855082,
89652120802,2004-05-22 07:31:45.000000,2004-05-22 07:43:40.944528,1.0
89002278947,2004-05-25 15:22:03.000000,2004-05-25 15:35:13.171020,
89652120802,2004-05-27 22:29:17.000000,2004-05-27 22:39:06.819841,
89576221549,2004-05-30 19:25:44.000000,2004-05-30 19:36:53.981061,1.0
89946027051,2004-06-07 12:13:43.000000,2004-06-07 12:24:27.336617,
89002278947,2004-06-20 05:47:54.000000,2004-06-20 06:01:22.465877,
89652120802,2004-06-22 07:25:52.000000,2004-06-22 07:36:58.795197,
89576221549,2004-06-27 05:06:54.000000,2004-06-27 05:18:17.865616,
89946027051,2004-06-27 14:45:08.000000,2004-06-27 14:54:55.710419,
89002278947,2004-07-06 08:10:41.000000,2004-07-06 08:23:19.284024,2.0
89652120802,2004-07-06 11:25:33.000000,2004-07-06 11:37:06.965675,
89652120802,2004-07-07 11:28:42.000000,2004-07-07 11:39:27.146236,4.0
89002278947,2004-07-07 18:42:00.000000,2004-07-07 18:53:28.661917,
