full_name,account_number,member_since
Brian Hughes,381732513,2002-12-10
Ronald Anderson,877392749,2011-04-06
Jesus Buban,130723657,2014-10-15
Joseph Stanley,264349575,2013-02-21
Barbara Madrigal,312533075,2021-09-25
Dolores Marshall,661040741,2012-07-27
Gerald Barrick,963097221,2004-06-14
Carol Schueller,909677673,2010-03-31
Royce Johnson,991804787,2003-04-23
William Johnson,434481339,2016-07-29
Jason Mendez,398930362,2009-01-25
Deborah Hall,437195226,2013-05-10
Sandra Bell,476081323,2005-05-09
Gilbert Dubois,263700728,2011-06-19
Gerard Richardson,169373203,2007-10-12
Ericka Carter,292453259,2007-12-05
Tara Kraft,644673023,2011-12-25
Oda Jackson,419703154,2011-07-31
Veronica Starch,243511477,2021-08-07
Dolores Lyster,739204442,2002-07-06
Maria Holden,155185057,2001-12-07
Mable Duncan,433647911,2010-04-09
Saundra Best,424223139,2000-12-15
Veronica James,185541795,2017-03-06
Armando Butler,557911407,2011-07-13
Rodrick Woods,547827188,2016-08-18
Mark Slate,747017788,2000-04-12
Helen Licon,396559618,2011-06-23
Mimi Kelly,277263914,2020-12-19
Annie Wilson,718960092,2000-08-06
Genevieve Levine,537111105,2011-04-14
Olivia Sosa,244522556,2010-07-21
Cynthia Kuehn,880359686,2001-06-03
Lindsey Davis,755730509,2000-04-10
Katherine Villanueva,508328458,2018-05-02
James Stahl,141477322,2012-03-16
Louise Oberley,627019703,2008-04-23
Robert Goines,592617480,2020-09-19
Kathleen Rohr,815310058,2011-08-02
Esmeralda Brainard,372239034,2000-05-03
Nancy Gillaspie,677402011,2021-04-21
John Buffum,611477330,2015-01-28
Paul Nichols,714494134,2020-05-25
Christopher Adams,144983719,2003-03-07
Mitchell Summers,901959225,2000-06-30
Jack Powell,398748031,2020-12-19
James Vasquez,505197081,2000-11-17
Joseph Bennett,169256327,2013-02-28
James Mezzatesta,405399339,2010-05-19
Damon Kessel,480291064,2008-03-24
Joseph Burns,595636625,2016-10-07
Jill Smith,325096194,2021-06-02
Denise Galloway,750681590,2018-09-21
Helen Taunton,428534752,2005-11-04
Jeffrey Kervin,409364535,2020-05-25
Peter Collins,447150166,2019-12-12
Annette Milburn,318484322,2002-07-05
Karl Parker,126941130,2013-04-22
Donna Cole,138408760,2015-04-21
Anna Gruber,400281831,2011-11-09
Robert Ferguson,342544518,2014-10-13
Lora Berntson,869369094,2001-04-14
Estela Cerny,911961633,2011-01-18
Thomas Carlucci,809015429,2012-05-15
Ronald Bartels,174709001,2005-04-23
Daniel Treat,619669161,2006-02-21
Odis Smith,620731877,2015-06-23
Linda Ramirez,520906525,2002-05-23
Lorraine Fuqua,885203540,2006-02-10
Jennifer Shapiro,250554459,2012-04-03
Carmen Thorn,729999257,2015-12-28
Juan Rolon,927063084,2019-10-26
Myrtle Kent,112334893,2009-03-18
Maria Sorenson,483590611,2006-04-14
Joe Jackson,294987045,2002-10-04
Joshua Snow,878160939,2014-02-20
Rodney Barclay,825948919,2013-07-27
James Williamson,907529500,2002-06-17
Marcus Jack,709166171,2013-03-22
Kathleen Herrmann,418309381,2003-05-07
Margherita Johnson,440028874,2018-05-22
Michael Lindgren,405655644,2010-05-10
Lynn Beasley,464036093,2008-10-19
Winfred Juarez,142202795,2019-11-12
Guadalupe Moses,660842801,2004-05-21
Alan Kelsey,209969297,2005-05-30
Daniel Feldt,387748142,2011-01-01
Tara Warren,273282951,2014-07-08
Nolan Mercado,139129997,2000-04-16
Frances Larson,818339698,2014-11-30
Raymond Jiminez,965773853,2008-02-25
Robert Kinsey,325252349,2020-05-18
Donald Thomas,689337003,2003-05-08
Emory Avant,909582293,2008-12-05
Jeremy Morris,502550759,2018-12-17
Phyllis Crigger,911082061,2015-10-24
Emil Schroeder,546018751,2003-05-20
Myrl Vogler,201024939,2018-04-17
Maria Han,123753608,2005-10-25
Regena Bridwell,418001200,2018-10-26
Jeffrey Santiago,423507340,2013-05-29
Tessa Phillips,417124128,2012-01-23
Trent Hiller,654868704,2012-03-16
Connie Adams,214756362,2013-11-09
Meggan Maclean,256925095,2003-11-05
Katherine Kimmerle,955667142,2018-10-15
Angie Trevino,746262470,2010-09-01
Carl Stanford,135774408,2019-02-22
Jeffrey Harris,522039928,2008-01-23
Richard Welch,908577949,2021-09-28
John Kearns,429975267,2021-03-11
Errol Lira,969018323,2018-07-26
Eugene Talerico,700614614,2008-09-01
Faye Cook,103321909,2002-01-29
George Hill,123746170,2017-07-29
Tabitha Ritchie,262376698,2005-12-17
Christopher Franch,434584200,2008-10-16
Gerald Spradlin,797231913,2004-06-18
Sabrina Feldman,846013957,2016-04-14
Mary Furrow,846330256,2000-06-10
Betsy Sant,951020567,2020-03-08
Christian Dyer,183590123,2007-08-18
Hortense Lyon,671346865,2010-08-07
Shelton Chiaramonte,569409405,2010-06-04
Linda Barker,596907934,2017-05-11
Clayton Bowen,113275718,2012-12-26
Barry Franklin,379059916,2016-10-03
John Crumrine,375615938,2010-06-26
Laurinda Aguirre,160116378,2006-01-03
James Thomas,696377445,2004-06-29
Gordon Gent,270621673,2001-11-21
Lillian Richter,116247998,2011-11-07
